epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.262,2.57729,4.84256,1.60348,0.00917,0.08571,0.07747,0.05649,2.2019,5.56314,1.32598,5.004e-05,5.004e-05,5.004e-05
2,276.432,2.50602,4.57231,1.50095,0.00132,0.08992,0.07441,0.04753,2.14049,5.41498,1.28147,0.000100411,0.000100411,0.000100411
3,377.186,2.42015,4.59152,1.48072,0.00104,0.11681,0.07286,0.03514,2.12251,5.33645,1.2962,0.000145277,0.000145277,0.000145277
4,478.125,2.32543,4.52432,1.45266,1,0.05826,0.12105,0.06954,2.10916,5.19832,1.3307,0.000184639,0.000184639,0.000184639
5,582.434,2.34103,4.34108,1.41811,0.01119,0.21933,0.13143,0.07445,2.03997,5.11163,1.31307,0.000218497,0.000218497,0.000218497
6,671.922,2.2486,4.31634,1.36676,0.29344,0.20061,0.15128,0.09267,2.13475,4.9604,1.31261,0.00024685,0.00024685,0.00024685
7,765.118,2.28088,4.31946,1.37132,0.90133,0.03676,0.1446,0.08494,2.18538,4.72663,1.29215,0.000269699,0.000269699,0.000269699
8,856.115,2.23902,4.15703,1.36568,0.84629,0.12588,0.15191,0.08322,2.22887,4.61285,1.31942,0.000287043,0.000287043,0.000287043
9,949.192,2.24392,4.02706,1.36242,0.82446,0.13682,0.17014,0.07707,2.33284,4.35372,1.33817,0.000298883,0.000298883,0.000298883
10,1043.94,2.18371,3.86679,1.34607,0.78107,0.1587,0.15272,0.06915,2.30394,4.23981,1.32037,0.000305219,0.000305219,0.000305219
11,1139.5,2.4192,4.51863,1.42764,0.69605,0.15401,0.15142,0.07486,2.24716,4.18119,1.31104,0.00028078,0.00028078,0.00028078
12,1241.68,2.38699,4.39781,1.44917,0.71974,0.15706,0.15383,0.08109,2.25442,4.0203,1.28303,0.000253258,0.000253258,0.000253258
13,1350.67,2.35205,4.26826,1.41554,0.69906,0.16218,0.17457,0.09966,2.2291,3.99228,1.3123,0.000225736,0.000225736,0.000225736
14,1456.25,2.36849,4.35017,1.39653,0.56225,0.17118,0.14787,0.0815,2.22466,3.90418,1.30439,0.000198214,0.000198214,0.000198214
15,1563.16,2.32528,4.19548,1.36729,0.63132,0.17201,0.17824,0.10087,2.17347,3.87107,1.31166,0.000170692,0.000170692,0.000170692
16,1661.2,2.28456,4.10942,1.37218,0.62856,0.16026,0.19246,0.1092,2.11181,3.8134,1.29755,0.00014317,0.00014317,0.00014317
17,1758.36,2.29628,4.13983,1.36135,0.71853,0.16026,0.1882,0.10674,2.10206,3.74242,1.30547,0.000115648,0.000115648,0.000115648
18,1859.83,2.29025,4.05014,1.35944,0.57194,0.18222,0.19396,0.1168,2.06614,3.63835,1.28294,8.8126e-05,8.8126e-05,8.8126e-05
19,1961.59,2.35548,4.21585,1.35471,0.59905,0.1941,0.19668,0.11826,2.05479,3.60545,1.27687,6.0604e-05,6.0604e-05,6.0604e-05
20,2067.14,2.23717,3.94828,1.35254,0.59852,0.1941,0.19487,0.11945,2.07019,3.61364,1.27286,3.3082e-05,3.3082e-05,3.3082e-05
