epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5706,2.84342,6.09256,1.80334,0,0,0,0,2.4317,6.47614,1.69774,5.004e-05,5.004e-05,5.004e-05
2,41.6234,2.55588,5.62844,1.64297,0,0,0,0,2.36518,5.95191,1.4429,0.000104594,0.000104594,0.000104594
3,57.9993,2.60399,5.12092,1.62182,0.00116,0.07143,0.038,0.02635,2.33422,5.83485,1.35437,0.000158047,0.000158047,0.000158047
4,72.5963,2.55684,4.84595,1.50605,0.00198,0.09832,0.06821,0.04875,2.24657,5.59664,1.29556,0.0002104,0.0002104,0.0002104
5,84.0602,2.49225,4.79262,1.47396,0.0007,0.12941,0.0695,0.03839,2.11148,5.52209,1.20393,0.000261651,0.000261651,0.000261651
6,95.3004,2.49141,4.40303,1.49698,0.00886,0.1731,0.07848,0.04229,2.11928,5.38434,1.23944,0.000311802,0.000311802,0.000311802
7,106.488,2.4576,4.33102,1.46266,0.00374,0.20111,0.10183,0.06004,2.06109,5.25865,1.24813,0.000360852,0.000360852,0.000360852
8,117.524,2.3807,4.3068,1.43536,0.97401,0.03571,0.1123,0.07133,1.98188,5.1119,1.25834,0.000408801,0.000408801,0.000408801
9,122.475,2.39852,4.35194,1.43168,1,0.06898,0.14009,0.08424,2.10822,4.96321,1.31391,0.000455649,0.000455649,0.000455649
10,133.433,2.37708,4.09551,1.37939,0.99698,0.07143,0.14037,0.07749,2.20102,4.83805,1.32524,0.000501396,0.000501396,0.000501396
11,137.066,2.23567,3.93239,1.35785,0.99562,0.03571,0.10139,0.05646,2.30677,4.79084,1.37337,0.000500956,0.000500956,0.000500956
12,140.942,2.26585,3.81108,1.39414,0.74455,0.07876,0.1064,0.07187,2.31163,4.61265,1.4307,0.000495452,0.000495452,0.000495452
13,147.275,2.41348,3.98119,1.40318,0.70098,0.14643,0.13522,0.07667,2.29139,4.39159,1.40186,0.000489947,0.000489947,0.000489947
14,152.184,2.31358,3.70194,1.32392,0.70878,0.17094,0.14243,0.0731,2.26821,4.07163,1.36507,0.000484443,0.000484443,0.000484443
15,159.563,2.27886,3.59841,1.34835,0.78386,0.15792,0.1496,0.09374,2.22802,3.91033,1.35252,0.000478938,0.000478938,0.000478938
16,165.635,2.31062,3.67073,1.33889,0.81878,0.12143,0.12561,0.06656,2.27922,3.7242,1.37478,0.000473434,0.000473434,0.000473434
17,172.032,2.21393,3.41712,1.34398,0.75374,0.12143,0.11768,0.06518,2.25765,3.66675,1.38798,0.00046793,0.00046793,0.00046793
18,177.473,2.25431,3.46465,1.33905,0.81855,0.11442,0.14745,0.06685,2.28497,3.81856,1.41421,0.000462425,0.000462425,0.000462425
19,183.176,2.23945,3.50878,1.37169,0.5929,0.15935,0.14842,0.08022,2.17375,3.70184,1.36783,0.000456921,0.000456921,0.000456921
20,189.705,2.14042,3.25518,1.29329,0.75243,0.17337,0.18847,0.10858,2.16443,3.58437,1.33184,0.000451416,0.000451416,0.000451416
21,197.024,2.25963,3.33898,1.37043,0.68254,0.15864,0.18289,0.0994,2.20433,3.58515,1.32574,0.000445912,0.000445912,0.000445912
22,207.603,2.23146,3.2983,1.34403,0.566,0.18512,0.181,0.10134,2.19753,3.72041,1.36477,0.000440408,0.000440408,0.000440408
23,216.905,2.19536,3.22805,1.33146,0.9192,0.14614,0.18064,0.10381,2.26114,3.53784,1.37239,0.000434903,0.000434903,0.000434903
24,221.706,2.17783,3.12102,1.31272,0.76149,0.16466,0.18154,0.10675,2.17673,3.37437,1.37815,0.000429399,0.000429399,0.000429399
25,227.274,2.25045,3.13035,1.35214,0.68733,0.17069,0.18366,0.10285,2.09561,3.28639,1.32107,0.000423894,0.000423894,0.000423894
26,235.534,2.14911,3.12389,1.32408,0.81374,0.16912,0.16707,0.09708,2.03439,3.31423,1.28182,0.00041839,0.00041839,0.00041839
27,246.649,2.11365,3.1687,1.33242,0.76397,0.17623,0.17999,0.11038,2.09351,3.28532,1.30285,0.000412886,0.000412886,0.000412886
28,250.757,2.10427,3.0811,1.33551,0.81492,0.17511,0.18297,0.10521,2.06768,3.20769,1.27295,0.000407381,0.000407381,0.000407381
29,259.47,2.07942,3.05561,1.29125,0.76018,0.17089,0.17501,0.10781,2.05332,3.34447,1.24855,0.000401877,0.000401877,0.000401877
30,264.736,2.07817,3.04667,1.30601,0.46948,0.17964,0.16802,0.10611,2.10126,3.41891,1.29121,0.000396372,0.000396372,0.000396372
31,270.817,2.05535,3.00648,1.28983,0.53464,0.19062,0.17087,0.11092,2.07669,3.38101,1.31011,0.000390868,0.000390868,0.000390868
32,276.744,1.9694,2.86874,1.27368,0.56696,0.19772,0.17997,0.1238,2.09207,3.30179,1.34281,0.000385364,0.000385364,0.000385364
33,285.082,2.12489,2.90557,1.29094,0.65531,0.19248,0.18135,0.12187,2.0539,3.26039,1.31512,0.000379859,0.000379859,0.000379859
34,294.792,1.98781,2.76589,1.26057,0.44313,0.21028,0.21059,0.13515,2.05725,3.07459,1.30857,0.000374355,0.000374355,0.000374355
35,300.272,2.05011,2.91562,1.30383,0.44551,0.18426,0.20673,0.12832,2.05119,3.0675,1.29118,0.00036885,0.00036885,0.00036885
36,306.924,2.02149,2.8558,1.2464,0.47463,0.18161,0.20144,0.11348,2.02233,3.03222,1.28594,0.000363346,0.000363346,0.000363346
37,313.557,1.99517,2.80456,1.27768,0.54004,0.18892,0.18692,0.10344,2.08498,3.07171,1.31491,0.000357842,0.000357842,0.000357842
38,322.456,1.99239,2.72391,1.23313,0.63867,0.16486,0.16837,0.09624,2.08904,3.12329,1.28599,0.000352337,0.000352337,0.000352337
39,331.325,1.95593,2.83014,1.2446,0.60067,0.16266,0.16892,0.09417,2.10086,3.12077,1.28311,0.000346833,0.000346833,0.000346833
40,338.559,2.01633,2.67614,1.24708,0.71579,0.16183,0.17672,0.1093,2.052,3.07868,1.30423,0.000341328,0.000341328,0.000341328
41,347.349,2.0245,2.74376,1.25831,0.60859,0.18043,0.18302,0.11178,2.0297,3.07748,1.28735,0.000335824,0.000335824,0.000335824
42,354.747,2.07834,2.78425,1.27842,0.55299,0.19497,0.17398,0.10206,2.02145,3.03013,1.27333,0.00033032,0.00033032,0.00033032
43,362.094,2.01504,2.73205,1.27327,0.57743,0.19577,0.17988,0.09549,2.01329,2.97587,1.27548,0.000324815,0.000324815,0.000324815
44,369.221,2.02814,2.75901,1.27751,0.45639,0.20465,0.18336,0.10812,2.03117,2.9716,1.2701,0.000319311,0.000319311,0.000319311
45,374.481,1.94405,2.67997,1.24687,0.45038,0.21639,0.20237,0.12575,2.04861,2.95993,1.27097,0.000313806,0.000313806,0.000313806
46,380.857,2.00666,2.78542,1.24115,0.36795,0.23568,0.21109,0.13911,2.01471,2.93876,1.26749,0.000308302,0.000308302,0.000308302
47,387.464,1.88585,2.59157,1.20942,0.34457,0.22536,0.21132,0.12728,2.01689,2.9253,1.2673,0.000302798,0.000302798,0.000302798
48,396.919,1.97857,2.59049,1.24818,0.36257,0.2148,0.20529,0.12196,2.0003,2.89438,1.27435,0.000297293,0.000297293,0.000297293
49,403.334,1.92775,2.60264,1.24746,0.58815,0.16198,0.20153,0.12931,1.97148,2.87859,1.27666,0.000291789,0.000291789,0.000291789
50,409.338,1.97351,2.63673,1.23677,0.31074,0.22111,0.1945,0.12923,1.96248,2.94816,1.27201,0.000286284,0.000286284,0.000286284
51,421.059,1.95234,2.57642,1.25652,0.31593,0.21006,0.19231,0.12911,1.93782,2.95904,1.2582,0.00028078,0.00028078,0.00028078
52,426.598,2.00721,2.53006,1.26922,0.3023,0.20097,0.19425,0.13097,1.91861,2.86852,1.24383,0.000275276,0.000275276,0.000275276
53,432.457,2.00792,2.67004,1.26893,0.37471,0.21711,0.1962,0.13032,1.96069,2.9382,1.26521,0.000269771,0.000269771,0.000269771
54,438.067,1.88121,2.65937,1.19352,0.37838,0.19862,0.19873,0.13524,1.94598,2.92928,1.24983,0.000264267,0.000264267,0.000264267
55,446.361,1.98247,2.52819,1.21879,0.3376,0.19945,0.20271,0.13716,1.91077,2.86242,1.23946,0.000258762,0.000258762,0.000258762
56,453.247,1.88747,2.52763,1.20244,0.35699,0.21466,0.21023,0.13677,1.89064,2.82095,1.22683,0.000253258,0.000253258,0.000253258
57,464.784,1.91276,2.43792,1.21086,0.4062,0.20042,0.21194,0.13678,1.9092,2.80498,1.2282,0.000247754,0.000247754,0.000247754
58,470.188,1.96429,2.61066,1.21775,0.44356,0.21782,0.21274,0.13334,1.92753,2.80735,1.21985,0.000242249,0.000242249,0.000242249
59,476.728,1.86803,2.48177,1.25309,0.43836,0.21933,0.21652,0.1368,1.93033,2.80381,1.21013,0.000236745,0.000236745,0.000236745
60,486.158,1.87852,2.44268,1.19125,0.47397,0.22182,0.20585,0.12353,1.94991,2.761,1.22006,0.00023124,0.00023124,0.00023124
61,492.554,1.82481,2.33954,1.17428,0.44906,0.2243,0.21524,0.12893,1.94075,2.75573,1.24163,0.000225736,0.000225736,0.000225736
62,503.34,1.95083,2.6181,1.2165,0.38268,0.22934,0.21056,0.13485,1.94854,2.76026,1.25065,0.000220232,0.000220232,0.000220232
63,510.849,1.90982,2.43291,1.22454,0.42878,0.20139,0.22972,0.13225,1.96169,2.79353,1.24705,0.000214727,0.000214727,0.000214727
64,522.213,1.78792,2.4168,1.15903,0.45656,0.24315,0.2265,0.12263,1.96147,2.80061,1.24692,0.000209223,0.000209223,0.000209223
